record_id,date,book_id,book_title,category,lag_1_borrowed,lag_2_borrowed,rolling_3_avg_borrowed,month_index,exam_period,holiday_indicator,semester_encoded,available_copies,reservation_count,renewal_count,publication_year,cat_Business Management,cat_Chemistry,cat_Civil,cat_Computer Science,cat_Data Science,cat_Electronics,cat_English Literature,cat_Mathematics,cat_Mechanical,cat_Physics,target_next_month_demand
241,2022-03-01,BK0001,Introduction to Computer Science,Computer Science,9.0,1.0,6.333333333333333,2,0,0,1,67,0,1,2016,False,False,False,True,False,False,False,False,False,False,13.0
361,2022-04-01,BK0001,Introduction to Computer Science,Computer Science,9.0,9.0,10.333333333333334,3,1,0,1,67,0,2,2016,False,False,False,True,False,False,False,False,False,False,19.0
481,2022-05-01,BK0001,Introduction to Computer Science,Computer Science,13.0,9.0,13.666666666666666,4,1,0,1,67,0,2,2016,False,False,False,True,False,False,False,False,False,False,1.0
601,2022-06-01,BK0001,Introduction to Computer Science,Computer Science,19.0,13.0,11.0,5,0,1,1,67,0,0,2016,False,False,False,True,False,False,False,False,False,False,9.0
721,2022-07-01,BK0001,Introduction to Computer Science,Computer Science,1.0,19.0,9.666666666666666,6,0,0,0,67,0,2,2016,False,False,False,True,False,False,False,False,False,False,10.0
841,2022-08-01,BK0001,Introduction to Computer Science,Computer Science,9.0,1.0,6.666666666666667,7,0,0,0,67,1,1,2016,False,False,False,True,False,False,False,False,False,False,8.0
961,2022-09-01,BK0001,Introduction to Computer Science,Computer Science,10.0,9.0,9.0,8,0,0,0,67,0,1,2016,False,False,False,True,False,False,False,False,False,False,22.0
1081,2022-10-01,BK0001,Introduction to Computer Science,Computer Science,8.0,10.0,13.333333333333334,9,1,0,0,67,0,1,2016,False,False,False,True,False,False,False,False,False,False,24.0
1201,2022-11-01,BK0001,Introduction to Computer Science,Computer Science,22.0,8.0,18.0,10,1,0,0,67,1,7,2016,False,False,False,True,False,False,False,False,False,False,4.0
1321,2022-12-01,BK0001,Introduction to Computer Science,Computer Science,24.0,22.0,16.666666666666668,11,0,1,0,67,0,0,2016,False,False,False,True,False,False,False,False,False,False,15.0
1441,2023-01-01,BK0001,Introduction to Computer Science,Computer Science,4.0,24.0,14.333333333333334,12,0,0,1,67,0,2,2016,False,False,False,True,False,False,False,False,False,False,16.0
1561,2023-02-01,BK0001,Introduction to Computer Science,Computer Science,15.0,4.0,11.666666666666666,13,0,0,1,67,0,1,2016,False,False,False,True,False,False,False,False,False,False,11.0
1681,2023-03-01,BK0001,Introduction to Computer Science,Computer Science,16.0,15.0,14.0,14,0,0,1,67,0,1,2016,False,False,False,True,False,False,False,False,False,False,12.0
1801,2023-04-01,BK0001,Introduction to Computer Science,Computer Science,11.0,16.0,13.0,15,1,0,1,67,1,2,2016,False,False,False,True,False,False,False,False,False,False,20.0
1921,2023-05-01,BK0001,Introduction to Computer Science,Computer Science,12.0,11.0,14.333333333333334,16,1,0,1,67,0,2,2016,False,False,False,True,False,False,False,False,False,False,5.0
2041,2023-06-01,BK0001,Introduction to Computer Science,Computer Science,20.0,12.0,12.333333333333334,17,0,1,1,67,0,3,2016,False,False,False,True,False,False,False,False,False,False,8.0
2161,2023-07-01,BK0001,Introduction to Computer Science,Computer Science,5.0,20.0,11.0,18,0,0,0,67,1,1,2016,False,False,False,True,False,False,False,False,False,False,13.0
2281,2023-08-01,BK0001,Introduction to Computer Science,Computer Science,8.0,5.0,8.666666666666666,19,0,0,0,67,0,2,2016,False,False,False,True,False,False,False,False,False,False,12.0
2401,2023-09-01,BK0001,Introduction to Computer Science,Computer Science,13.0,8.0,11.0,20,0,0,0,67,0,1,2016,False,False,False,True,False,False,False,False,False,False,18.0
2521,2023-10-01,BK0001,Introduction to Computer Science,Computer Science,12.0,13.0,14.333333333333334,21,1,0,0,67,0,2,2016,False,False,False,True,False,False,False,False,False,False,27.0
2641,2023-11-01,BK0001,Introduction to Computer Science,Computer Science,18.0,12.0,19.0,22,1,0,0,67,1,3,2016,False,False,False,True,False,False,False,False,False,False,6.0
2761,2023-12-01,BK0001,Introduction to Computer Science,Computer Science,27.0,18.0,17.0,23,0,1,0,67,0,1,2016,False,False,False,True,False,False,False,False,False,False,15.0
2881,2024-01-01,BK0001,Introduction to Computer Science,Computer Science,6.0,27.0,16.0,24,0,0,1,67,0,0,2016,False,False,False,True,False,False,False,False,False,False,14.0
3001,2024-02-01,BK0001,Introduction to Computer Science,Computer Science,15.0,6.0,11.666666666666666,25,0,0,1,67,0,1,2016,False,False,False,True,False,False,False,False,False,False,10.0
