record_id,date,book_id,book_title,author,category,department,publication_year,available_copies,borrowed_count,returned_count,renewal_count,reservation_count,semester,exam_period,holiday_indicator
1,2022-01-01,BK0001,Introduction to Computer Science,N. Iyer,Computer Science,CSE,2016,67,1,1,0,0,Even,0,0
2,2022-01-01,BK0002,Fundamentals of Computer Science,R. Singh,Computer Science,CSE,2016,58,20,18,1,0,Even,0,0
3,2022-01-01,BK0003,Computer Science: A Practical Approach,J. Sharma,Computer Science,CSE,2006,69,2,2,0,1,Even,0,0
4,2022-01-01,BK0004,Advanced Computer Science,K. Gupta,Computer Science,CSE,2022,28,24,18,1,0,Even,0,0
5,2022-01-01,BK0005,Principles of Computer Science,R. Menon,Computer Science,CSE,2008,31,10,6,2,0,Even,0,0
6,2022-01-01,BK0006,Computer Science for Engineers,K. Kumar,Computer Science,CSE,2012,40,18,13,7,1,Even,0,0
7,2022-01-01,BK0007,Modern Computer Science,R. Menon,Computer Science,CSE,2010,59,17,16,4,0,Even,0,0
8,2022-01-01,BK0008,Applied Computer Science,R. Nair,Computer Science,CSE,2007,15,14,14,5,1,Even,0,0
9,2022-01-01,BK0009,Computer Science Concepts and Applications,J. Rao,Computer Science,CSE,2021,19,4,4,0,0,Even,0,0
10,2022-01-01,BK0010,Essentials of Computer Science,D. Rao,Computer Science,CSE,2017,37,8,7,1,0,Even,0,0
11,2022-01-01,BK0011,Computer Science: Theory and Practice,V. Nair,Computer Science,CSE,2020,69,35,31,4,0,Even,0,0
12,2022-01-01,BK0012,Understanding Computer Science,N. Khan,Computer Science,CSE,2001,63,37,31,10,0,Even,0,0
13,2022-01-01,BK0013,Introduction to Data Science,K. Iyer,Data Science,CSE,2016,42,14,12,3,0,Even,0,0
14,2022-01-01,BK0014,Fundamentals of Data Science,R. Menon,Data Science,CSE,2005,69,25,21,6,0,Even,0,0
15,2022-01-01,BK0015,Data Science: A Practical Approach,J. Rao,Data Science,CSE,2021,23,9,8,1,1,Even,0,0
16,2022-01-01,BK0016,Advanced Data Science,M. Sharma,Data Science,CSE,2003,66,24,18,7,0,Even,0,0
17,2022-01-01,BK0017,Principles of Data Science,A. Sharma,Data Science,CSE,1996,16,5,4,1,0,Even,0,0
18,2022-01-01,BK0018,Data Science for Engineers,P. Rao,Data Science,CSE,2000,46,6,4,0,0,Even,0,0
19,2022-01-01,BK0019,Modern Data Science,N. Iyer,Data Science,CSE,2010,30,18,17,4,1,Even,0,0
20,2022-01-01,BK0020,Applied Data Science,A. Gupta,Data Science,CSE,2013,40,12,12,0,2,Even,0,0
21,2022-01-01,BK0021,Data Science Concepts and Applications,S. Reddy,Data Science,CSE,2019,39,9,9,1,1,Even,0,0
22,2022-01-01,BK0022,Essentials of Data Science,R. Rao,Data Science,CSE,2014,63,18,14,2,1,Even,0,0
23,2022-01-01,BK0023,Data Science: Theory and Practice,R. Sharma,Data Science,CSE,2018,47,15,11,5,0,Even,0,0
24,2022-01-01,BK0024,Understanding Data Science,V. Iyer,Data Science,CSE,2019,49,29,26,3,0,Even,0,0
25,2022-01-01,BK0025,Introduction to Electronics,J. Kumar,Electronics,ECE,2015,62,21,16,4,0,Even,0,0
26,2022-01-01,BK0026,Fundamentals of Electronics,K. Singh,Electronics,ECE,2013,36,4,4,0,0,Even,0,0
27,2022-01-01,BK0027,Electronics: A Practical Approach,N. Bose,Electronics,ECE,1999,62,23,16,2,0,Even,0,0
28,2022-01-01,BK0028,Advanced Electronics,S. Iyer,Electronics,ECE,2015,20,15,13,1,0,Even,0,0
29,2022-01-01,BK0029,Principles of Electronics,S. Verma,Electronics,ECE,1997,32,23,19,3,1,Even,0,0
30,2022-01-01,BK0030,Electronics for Engineers,J. Menon,Electronics,ECE,2016,37,15,13,5,0,Even,0,0
31,2022-01-01,BK0031,Modern Electronics,R. Khan,Electronics,ECE,2020,49,9,8,0,0,Even,0,0
